m/z,with sulfur,without sulfur
19.5,1.70E-11,2.11E-11
19.6,3.55E-11,3.60E-11
19.7,6.24E-11,8.04E-11
19.8,9.13E-11,1.17E-10
19.9,1.04E-10,1.23E-10
20,1.00E-10,1.24E-10
20.1,9.08E-11,1.13E-10
20.2,7.01E-11,9.27E-11
20.3,2.03E-11,3.17E-11
20.4,6.41E-12,4.56E-12
20.5,6.51E-15,1.57E-12
20.6,1.09E-12,1.47E-12
20.7,4.04E-12,1.58E-12
20.8,6.29E-13,1.62E-12
20.9,-5.09E-13,2.67E-12
21,1.14E-12,2.00E-12
21.1,2.11E-12,3.29E-12
21.2,3.49E-12,3.81E-12
21.3,5.25E-12,3.15E-12
21.4,7.53E-12,3.91E-12
21.5,1.14E-11,4.37E-12
21.6,2.61E-11,6.44E-12
21.7,5.05E-11,1.12E-11
21.8,6.47E-11,1.19E-11
21.9,7.47E-11,1.11E-11
22,7.19E-11,1.11E-11
22.1,6.33E-11,1.12E-11
22.2,5.13E-11,1.07E-11
22.3,1.68E-11,6.81E-12
22.4,8.66E-12,4.08E-12
22.5,6.35E-12,3.35E-12
22.6,6.49E-12,1.86E-12
22.7,7.56E-12,2.34E-12
22.8,7.51E-12,2.86E-12
22.9,7.07E-12,1.40E-12
23,4.54E-12,1.56E-12
23.1,5.10E-12,8.85E-13
23.2,4.69E-12,1.29E-12
23.3,3.10E-12,1.34E-12
23.4,5.07E-12,1.34E-12
23.5,4.37E-12,2.61E-12
23.6,7.28E-12,3.71E-12
23.7,1.10E-11,4.04E-12
23.8,1.40E-11,6.23E-12
23.9,1.59E-11,7.93E-12
24,1.32E-11,6.85E-12
24.1,1.60E-11,7.08E-12
24.2,1.19E-11,6.02E-12
24.3,3.68E-12,4.05E-12
24.4,7.92E-14,3.87E-12
24.5,3.73E-12,4.25E-12
24.6,8.20E-12,7.18E-12
24.7,1.28E-11,1.40E-11
24.8,1.67E-11,1.92E-11
24.9,1.59E-11,1.99E-11
25,1.82E-11,2.27E-11
25.1,1.87E-11,2.32E-11
25.2,1.83E-11,2.19E-11
25.3,1.30E-11,1.30E-11
25.4,1.27E-11,1.24E-11
25.5,2.13E-11,2.17E-11
