m/z,with sulfur,without sulfur
78.7,2.35E-11,2.69E-12
78.8,3.46E-11,3.58E-12
78.9,4.43E-11,3.27E-12
79,4.96E-11,4.27E-12
79.1,5.18E-11,5.18E-12
79.2,4.49E-11,4.42E-12
79.3,3.14E-11,3.97E-12
79.4,1.20E-11,4.50E-12
79.5,5.60E-12,3.25E-12
79.6,8.66E-12,3.23E-12
79.7,1.82E-11,3.17E-12
79.8,2.61E-11,3.64E-12
79.9,3.54E-11,2.66E-12
80,4.44E-11,2.82E-12
80.1,4.15E-11,3.40E-12
80.2,3.84E-11,4.12E-12
80.3,2.42E-11,3.64E-12
80.4,9.63E-12,3.62E-12
80.5,3.33E-12,3.36E-12
80.6,1.80E-12,3.40E-12
80.7,3.35E-12,4.15E-12
80.8,5.02E-12,3.28E-12
80.9,8.54E-12,4.49E-12
81,9.50E-12,4.12E-12
81.1,9.07E-12,4.83E-12
81.2,8.06E-12,4.47E-12
81.3,5.86E-12,5.33E-12
81.4,4.90E-12,4.32E-12
81.5,3.61E-12,2.67E-12
81.6,2.74E-12,2.81E-12
81.7,3.98E-12,3.76E-12
81.8,5.54E-12,3.26E-12
81.9,6.87E-12,4.40E-12
82,7.20E-12,3.73E-12
82.1,7.91E-12,5.03E-12
82.2,7.77E-12,5.17E-12
82.3,5.39E-12,4.71E-12
82.4,4.33E-12,4.54E-12
82.5,2.52E-12,3.44E-12
82.6,2.32E-12,2.28E-12
82.7,2.00E-12,3.69E-12
82.8,4.49E-12,4.40E-12
82.9,4.67E-12,4.78E-12
83,3.84E-12,5.07E-12
83.1,3.95E-12,4.01E-12
83.2,5.37E-12,4.43E-12
83.3,4.82E-12,4.43E-12
83.4,4.81E-12,4.00E-12
83.5,3.91E-12,3.68E-12
83.6,2.82E-12,3.06E-12
83.7,3.48E-12,3.68E-12
83.8,2.78E-12,3.96E-12
83.9,3.98E-12,4.59E-12
84,5.31E-12,4.51E-12
84.1,2.83E-12,4.16E-12
84.2,2.56E-12,4.39E-12
84.3,4.04E-12,5.64E-12
84.4,3.31E-12,5.23E-12
84.5,2.75E-12,3.58E-12
84.6,9.54E-13,3.54E-12
84.7,3.64E-12,3.72E-12
84.8,3.13E-12,4.33E-12
84.9,4.17E-12,6.58E-12
85,4.42E-12,6.14E-12
85.1,7.31E-12,6.02E-12
85.2,8.30E-12,5.09E-12
85.3,6.56E-12,5.09E-12
85.4,5.44E-12,4.52E-12
85.5,3.16E-12,2.69E-12
85.6,2.31E-12,3.19E-12
85.7,2.15E-12,3.92E-12
85.8,3.37E-12,4.83E-12
85.9,3.13E-12,4.87E-12
86,3.92E-12,5.50E-12
86.1,4.07E-12,6.07E-12
86.2,2.77E-12,4.35E-12
86.3,3.64E-12,4.38E-12
86.4,2.70E-12,3.70E-12
86.5,1.77E-12,1.87E-12
86.6,1.91E-12,1.74E-12
86.7,4.10E-12,2.84E-12
86.8,5.09E-12,3.88E-12
86.9,3.66E-12,4.51E-12
87,4.92E-12,5.81E-12
87.1,6.85E-12,4.80E-12
87.2,6.56E-12,4.10E-12
87.3,4.89E-12,4.00E-12
87.4,4.12E-12,4.06E-12
87.5,3.28E-12,3.62E-12
87.6,1.99E-12,3.53E-12
87.7,3.77E-12,3.52E-12
87.8,4.69E-12,3.67E-12
87.9,4.76E-12,2.94E-12
88,4.58E-12,2.91E-12
88.1,5.84E-12,4.47E-12
88.2,6.13E-12,5.42E-12
88.3,5.54E-12,3.75E-12
88.4,3.90E-12,4.88E-12
88.5,2.49E-12,3.58E-12
88.6,2.71E-12,2.97E-12
88.7,2.15E-12,3.71E-12
88.8,4.68E-12,3.04E-12
88.9,5.15E-12,3.47E-12
89,5.56E-12,3.99E-12
89.1,5.58E-12,3.75E-12
89.2,6.31E-12,3.58E-12
89.3,5.31E-12,3.15E-12
89.4,3.23E-12,3.83E-12
89.5,2.50E-12,4.08E-12
89.6,1.99E-12,3.40E-12
89.7,2.62E-12,2.71E-12
89.8,4.58E-12,3.68E-12
89.9,4.88E-12,3.50E-12
90,5.08E-12,3.92E-12
90.1,5.57E-12,2.95E-12
90.2,5.93E-12,3.91E-12
90.3,5.15E-12,4.72E-12
90.4,3.69E-12,2.41E-12
90.5,2.74E-12,2.84E-12
90.6,1.89E-12,2.97E-12
90.7,3.03E-12,3.78E-12
90.8,5.11E-12,4.57E-12
90.9,6.47E-12,3.87E-12
91,6.37E-12,3.62E-12
91.1,7.80E-12,4.05E-12
91.2,8.47E-12,4.58E-12
91.3,6.93E-12,5.58E-12
91.4,6.00E-12,3.60E-12
91.5,4.34E-12,3.27E-12
91.6,3.39E-12,3.78E-12
91.7,6.62E-12,4.57E-12
91.8,1.07E-11,3.86E-12
91.9,1.44E-11,4.49E-12
92,1.47E-11,3.69E-12
92.1,1.62E-11,3.95E-12
92.2,1.57E-11,3.41E-12
92.3,1.26E-11,3.98E-12
92.4,9.53E-12,1.98E-12
92.5,4.12E-12,1.74E-12
92.6,2.79E-12,3.29E-12
92.7,2.84E-12,3.47E-12
92.8,4.71E-12,3.64E-12
92.9,4.75E-12,3.95E-12
93,5.72E-12,4.00E-12
93.1,5.34E-12,3.77E-12
93.2,5.55E-12,4.11E-12
93.3,5.63E-12,3.93E-12
93.4,3.97E-12,3.97E-12
93.5,3.00E-12,2.77E-12
93.6,5.80E-12,1.79E-12
93.7,1.47E-11,3.50E-12
93.8,2.91E-11,2.63E-12
93.9,4.08E-11,3.77E-12
94,4.59E-11,4.03E-12
94.1,5.57E-11,4.38E-12
94.2,4.76E-11,4.41E-12
94.3,3.69E-11,4.52E-12
94.4,2.02E-11,3.57E-12
94.5,7.12E-12,3.07E-12
94.6,2.84E-12,3.18E-12
94.7,2.91E-12,3.18E-12
94.8,4.31E-12,3.30E-12
94.9,5.59E-12,4.00E-12
95,6.20E-12,4.94E-12
95.1,6.01E-12,3.93E-12
95.2,6.59E-12,4.02E-12
95.3,5.48E-12,4.03E-12
95.4,4.18E-12,2.95E-12
95.5,3.67E-12,4.52E-12
95.6,4.14E-12,3.63E-12
95.7,6.35E-12,4.49E-12
95.8,1.10E-11,4.61E-12
95.9,1.49E-11,4.60E-12
96,1.65E-11,4.14E-12
96.1,1.87E-11,4.50E-12
96.2,1.44E-11,3.62E-12
96.3,1.20E-11,4.50E-12
96.4,5.86E-12,3.83E-12
96.5,2.29E-12,3.48E-12
96.6,2.73E-12,3.13E-12
96.7,1.79E-12,2.96E-12
96.8,3.71E-12,4.10E-12
96.9,3.99E-12,3.91E-12
97,4.73E-12,4.84E-12
97.1,4.57E-12,4.95E-12
97.2,5.76E-12,5.63E-12
97.3,5.01E-12,5.53E-12
97.4,3.37E-12,4.82E-12
97.5,2.39E-12,4.38E-12
97.6,2.12E-12,3.10E-12
97.7,3.75E-12,2.47E-12
97.8,3.47E-12,4.38E-12
97.9,5.08E-12,4.53E-12
98,4.87E-12,4.23E-12
98.1,5.57E-12,4.24E-12
98.2,4.80E-12,4.42E-12
98.3,4.70E-12,3.80E-12
98.4,4.54E-12,3.41E-12
98.5,3.73E-12,3.61E-12
98.6,2.82E-12,3.95E-12
98.7,3.22E-12,3.18E-12
98.8,2.99E-12,3.39E-12
98.9,3.13E-12,4.19E-12
99,4.15E-12,4.73E-12
99.1,4.92E-12,4.92E-12
99.2,3.83E-12,5.20E-12
99.3,2.76E-12,4.55E-12
99.4,3.10E-12,4.34E-12
99.5,3.20E-12,3.51E-12
99.6,3.45E-12,4.58E-12
99.7,3.18E-12,3.57E-12
99.8,3.01E-12,2.92E-12
99.9,4.62E-12,4.00E-12
100,4.85E-12,4.98E-12

