Wavenumber (1/cm),With sulfur,without sulfur
539.015,99.5935,100.974
539.497,99.539,100.97
539.98,99.5135,100.968
540.462,99.5202,100.965
540.944,99.5598,100.96
541.426,99.6313,100.952
541.908,99.7324,100.941
542.39,99.8604,100.927
542.872,100.011,100.911
543.354,100.18,100.895
543.836,100.36,100.88
544.319,100.545,100.865
544.801,100.727,100.852
545.283,100.899,100.839
545.765,101.059,100.827
546.247,101.204,100.816
546.729,101.334,100.805
547.211,101.45,100.794
547.693,101.551,100.782
548.176,101.64,100.769
548.658,101.714,100.755
549.14,101.775,100.739
549.622,101.825,100.723
550.104,101.867,100.707
550.586,101.903,100.692
551.068,101.936,100.679
551.55,101.967,100.668
552.033,101.996,100.656
552.515,102.019,100.643
552.997,102.036,100.629
553.479,102.043,100.614
553.961,102.043,100.597
554.443,102.035,100.58
554.925,102.023,100.562
555.407,102.008,100.543
555.89,101.992,100.523
556.372,101.975,100.502
556.854,101.956,100.48
557.336,101.937,100.457
557.818,101.917,100.434
558.3,101.898,100.411
558.782,101.882,100.39
559.265,101.868,100.369
559.747,101.857,100.347
560.229,101.847,100.325
560.711,101.837,100.3
561.193,101.824,100.274
561.675,101.808,100.247
562.157,101.789,100.221
562.639,101.769,100.196
563.122,101.748,100.172
563.604,101.728,100.15
564.086,101.709,100.128
564.568,101.691,100.106
565.05,101.673,100.084
565.532,101.654,100.061
566.014,101.634,100.039
566.496,101.611,100.018
566.979,101.585,99.9966
567.461,101.555,99.9758
567.943,101.521,99.9548
568.425,101.481,99.9335
568.907,101.438,99.9118
569.389,101.39,99.89
569.871,101.34,99.868
570.353,101.288,99.8459
570.836,101.235,99.8231
571.318,101.182,99.7991
571.8,101.13,99.7736
572.282,101.075,99.7465
572.764,101.019,99.7185
573.246,100.957,99.6902
573.728,100.891,99.6627
574.21,100.818,99.6364
574.693,100.737,99.6113
575.175,100.651,99.587
575.657,100.559,99.5629
576.139,100.463,99.5388
576.621,100.364,99.5146
577.103,100.265,99.4907
577.585,100.165,99.4675
578.067,100.066,99.445
578.55,99.9663,99.4229
579.032,99.8653,99.4005
579.514,99.7624,99.377
579.996,99.6576,99.3521
580.478,99.5512,99.3258
580.96,99.4443,99.2988
581.442,99.3374,99.2718
581.924,99.2311,99.2456
582.407,99.1253,99.2207
582.889,99.0194,99.1971
583.371,98.9131,99.1744
583.853,98.8063,99.1524
584.335,98.6995,99.1307
584.817,98.5935,99.1093
585.299,98.4897,99.0879
585.781,98.3887,99.0665
586.263,98.2909,99.0446
586.746,98.1958,99.022
587.228,98.1023,98.9987
587.71,98.0095,98.9749
588.192,97.9163,98.9514
588.674,97.8224,98.929
589.156,97.7276,98.9084
589.638,97.6319,98.8897
590.12,97.5356,98.8727
590.603,97.4389,98.8564
591.085,97.342,98.8399
591.567,97.2453,98.8229
592.049,97.1495,98.8049
592.531,97.0552,98.7867
593.013,96.963,98.7686
593.495,96.8728,98.7514
593.977,96.7841,98.7352
594.46,96.696,98.7197
594.942,96.6074,98.7048
595.424,96.5177,98.69
595.906,96.4266,98.6752
596.388,96.3342,98.6605
596.87,96.2411,98.6462
597.352,96.1477,98.6323
597.834,96.0538,98.6188
598.317,95.9591,98.6054
598.799,95.8628,98.5919
599.281,95.7643,98.5785
599.763,95.6632,98.5653
600.245,95.5598,98.5528
600.727,95.4546,98.5413
601.209,95.3477,98.531
601.692,95.2392,98.5216
602.174,95.1284,98.5124
602.656,95.0143,98.5032
603.138,94.8956,98.4934
603.62,94.7712,98.4833
604.102,94.6402,98.4731
604.584,94.502,98.4632
605.066,94.356,98.4536
605.549,94.2017,98.4441
606.031,94.038,98.4342
606.513,93.8639,98.4237
606.995,93.6785,98.4124
607.477,93.4812,98.4006
607.959,93.2724,98.3889
608.441,93.0533,98.3778
608.923,92.8263,98.3675
609.406,92.5946,98.3579
609.888,92.3622,98.3485
610.37,92.1335,98.3387
610.852,91.9135,98.3284
611.334,91.7066,98.3175
611.816,91.5173,98.3065
612.298,91.3488,98.2957
612.78,91.2035,98.2851
613.263,91.0821,98.2745
613.745,90.9846,98.2634
614.227,90.9099,98.2511
614.709,90.8568,98.2376
615.191,90.8238,98.223
615.673,90.8095,98.2081
616.155,90.8124,98.1936
616.637,90.831,98.1799
617.12,90.8632,98.167
617.602,90.9067,98.1546
618.084,90.959,98.1421
618.566,91.0176,98.1291
619.048,91.0804,98.1155
619.53,91.1462,98.1015
620.012,91.2139,98.0875
620.494,91.2832,98.0738
620.977,91.3538,98.0601
621.459,91.4255,98.0461
621.941,91.4982,98.0313
622.423,91.5719,98.0152
622.905,91.6471,97.998
623.387,91.7243,97.98
623.869,91.8046,97.962
624.351,91.8888,97.9445
624.833,91.9772,97.9279
625.316,92.0696,97.912
625.798,92.1647,97.8967
626.28,92.2611,97.8818
626.762,92.3569,97.8671
627.244,92.4505,97.8527
627.726,92.5405,97.8387
628.208,92.6259,97.8248
628.69,92.7056,97.8109
629.173,92.7789,97.7964
629.655,92.8449,97.781
630.137,92.9027,97.7646
630.619,92.9515,97.7474
631.101,92.9909,97.7298
631.583,93.0211,97.7123
632.065,93.0425,97.6954
632.547,93.0558,97.6788
633.03,93.0619,97.6625
633.512,93.0615,97.646
633.994,93.0553,97.629
634.476,93.0436,97.6116
634.958,93.0268,97.5941
635.44,93.0049,97.5767
635.922,92.9782,97.5598
636.404,92.9469,97.5431
636.887,92.9115,97.5264
637.369,92.8727,97.5095
637.851,92.8312,97.4924
638.333,92.7877,97.4751
638.815,92.7431,97.4581
639.297,92.6974,97.4415
639.779,92.6504,97.4255
640.261,92.6015,97.4099
640.744,92.5495,97.3942
641.226,92.4934,97.3782
641.708,92.4326,97.3616
642.19,92.3667,97.3447
642.672,92.2962,97.3278
643.154,92.2219,97.3112
643.636,92.1449,97.295
644.119,92.0658,97.2787
644.601,91.985,97.2616
645.083,91.9026,97.243
645.565,91.8182,97.2227
646.047,91.7313,97.2011
646.529,91.6415,97.1789
647.011,91.5483,97.1571
647.493,91.4513,97.1365
647.976,91.3502,97.1175
648.458,91.2442,97.1002
648.94,91.1329,97.0843
649.422,91.0158,97.0694
649.904,90.8927,97.0556
650.386,90.7641,97.043
650.868,90.6306,97.0315
651.35,90.493,97.0213
651.833,90.352,97.012
652.315,90.2076,97.003
652.797,90.0591,96.9936
653.279,89.9054,96.9833
653.761,89.745,96.9719
654.243,89.5766,96.9597
654.725,89.3994,96.9471
655.207,89.2134,96.9343
655.69,89.0195,96.9216
656.172,88.8191,96.9088
656.654,88.6137,96.896
657.136,88.405,96.8831
657.618,88.1939,96.8703
658.1,87.9814,96.8581
658.582,87.7677,96.8469
659.064,87.5525,96.8369
659.546,87.3356,96.8279
660.029,87.116,96.8193
660.511,86.893,96.8109
660.993,86.6655,96.8022
661.475,86.4326,96.7932
661.957,86.194,96.7841
662.439,85.9497,96.7754
662.921,85.7006,96.7673
663.403,85.448,96.7596
663.886,85.194,96.7523
664.368,84.9405,96.7449
664.85,84.6894,96.7372
665.332,84.4421,96.7291
665.814,84.1998,96.7208
666.296,83.9634,96.7123
666.778,83.7343,96.7038
667.26,83.5141,96.6949
667.743,83.3051,96.6855
668.225,83.1101,96.6752
668.707,82.9319,96.6643
669.189,82.7734,96.6529
669.671,82.6367,96.6419
670.153,82.5234,96.6317
670.635,82.4344,96.6225
671.117,82.3702,96.6142
671.6,82.3308,96.6063
672.082,82.3159,96.5982
672.564,82.3252,96.5897
673.046,82.3581,96.5811
673.528,82.4141,96.5727
674.01,82.4926,96.5653
674.492,82.5933,96.559
674.974,82.7162,96.5537
675.457,82.862,96.5488
675.939,83.0318,96.5436
676.421,83.2276,96.5374
676.903,83.4516,96.5302
677.385,83.7061,96.5221
677.867,83.993,96.5136
678.349,84.3132,96.5054
678.831,84.6666,96.4978
679.314,85.0512,96.4906
679.796,85.4639,96.4837
680.278,85.9001,96.4767
680.76,86.3545,96.4698
681.242,86.821,96.4628
681.724,87.2933,96.4561
682.206,87.765,96.4498
682.688,88.2296,96.4436
683.171,88.6811,96.4373
683.653,89.114,96.4305
684.135,89.5237,96.4229
684.617,89.9069,96.4146
685.099,90.262,96.406
685.581,90.5883,96.3975
686.063,90.8863,96.3895
686.545,91.1569,96.3821
687.028,91.4013,96.375
687.51,91.6206,96.3679
687.992,91.8159,96.3604
688.474,91.9887,96.3527
688.956,92.1404,96.3448
689.438,92.2728,96.337
689.92,92.388,96.3295
690.403,92.4881,96.3221
690.885,92.5751,96.3143
691.367,92.6508,96.3058
691.849,92.7172,96.2962
692.331,92.776,96.2856
692.813,92.829,96.2744
693.295,92.8779,96.2632
693.777,92.9241,96.2523
694.26,92.9687,96.2423
